a.word,princess_word_count,dracula_word_count,total
altogether,1,16,17
solicitor,3,14,17
condition,2,15,17
despair,2,15,17
leaned,7,10,17
easily,7,10,17
glance,10,7,17
naturally,6,11,17
tight,4,13,17
prisoner,10,7,17
charge,6,11,17
noise,10,7,17
absolutely,5,12,17
crumbs,16,1,17
seized,4,13,17
various,5,12,17
funny,9,8,17
law,2,14,16
tide,1,15,16
nobody,14,2,16
animal,5,11,16
greatly,7,9,16
trace,3,13,16
view,1,15,16
servant,12,4,16
worth,2,14,16
miserable,8,8,16
loud,5,11,16
shoulders,8,8,16
stern,2,14,16
particular,8,8,16
tied,5,11,16
disappeared,3,13,16
grateful,4,12,16
kindly,4,12,16
re,10,6,16
slipped,14,2,16
delay,1,15,16
twenty,3,13,16
ordered,10,6,16
curious,7,9,16
foot,6,10,16
frock,14,2,16
rug,14,2,16
explain,8,8,16
goes,4,12,16
entirely,7,9,16
drawing,5,11,16
ordinary,8,8,16
attend,3,13,16
lunch,2,14,16
removed,5,11,16
affairs,3,13,16
bare,10,6,16
deck,1,15,16
loving,2,14,16
rosy,12,4,16
legs,15,1,16
excited,7,9,16
haven,14,2,16
bowed,3,13,16
regarding,1,15,16
sleeps,3,13,16
spread,8,8,16
nervous,4,12,16
hung,10,5,15
hurried,3,12,15
temper,13,2,15
scream,6,9,15
inside,10,5,15
glow,13,2,15
shining,8,7,15
jump,12,3,15
signs,3,12,15
england,4,11,15
rock,2,13,15
arranged,2,13,15
fully,3,12,15
lamps,2,13,15
needed,3,12,15
laughing,14,1,15
command,1,14,15
purchase,1,14,15
lead,2,13,15
sail,1,14,15
lesson,5,10,15
burst,8,7,15
lid,1,14,15
rude,9,6,15
circumstances,3,12,15
happiness,1,14,15
occasion,4,11,15
saved,7,8,15
worked,4,11,15
notes,4,11,15
married,1,14,15
west,3,12,15
closer,3,12,15
pillow,7,8,15
existence,7,8,15
bound,3,12,15
dry,5,10,15
desire,3,12,15
midnight,3,12,15
fed,10,5,15
finger,2,13,15
silver,4,11,15
agreed,3,12,15
giving,9,6,15
blazing,11,4,15
following,3,12,15
doors,4,11,15
narrow,8,7,15
carrying,9,6,15
decided,6,9,15
hundred,3,12,15
coat,6,8,14
sparrows,12,2,14
suggested,9,5,14
fearful,1,13,14
rush,4,10,14
hate,3,11,14
useful,3,11,14
stronger,4,10,14
wings,2,12,14
lighted,11,3,14
bow,1,13,14
probably,6,8,14
conversation,4,10,14
aside,8,6,14
driving,3,11,14
weather,2,12,14
sick,1,13,14
suffered,1,13,14
passion,2,12,14
future,6,8,14
arrival,3,11,14
desperate,4,10,14
language,6,8,14
shawl,11,3,14
rising,4,10,14
crept,10,4,14
worst,5,9,14
soundly,3,11,14
shoes,10,4,14
dared,3,11,14
glimpse,7,7,14
golden,7,7,14
slightly,6,8,14
beg,11,3,14
hid,7,7,14
rusty,7,7,14
ridiculous,12,2,14
cheer,5,9,14
grand,13,1,14
hidden,6,8,14
refuse,6,8,14
figures,1,13,14
nearer,6,8,14
cheerfully,6,8,14
e,1,13,14
usually,5,9,14
closing,2,12,14
imagination,3,11,14
honor,3,11,14
sigh,5,9,14
baby,11,3,14
knock,3,10,13
result,2,11,13
delightful,10,3,13
blow,3,10,13
awakened,4,9,13
splendid,10,3,13
freedom,1,12,13
thanked,3,10,13
possibly,1,12,13
merely,7,6,13
scene,2,11,13
speech,8,5,13
ear,1,12,13
stare,10,3,13
son,1,12,13
hotel,1,12,13
faces,4,9,13
restored,5,8,13
middle,11,2,13
willing,3,10,13
impossible,1,12,13
ugly,12,1,13
burning,3,10,13
important,1,12,13
silk,9,4,13
fashion,2,11,13
likely,8,5,13
shown,4,9,13
friendly,11,2,13
entry,1,12,13
tongue,3,10,13
wood,2,11,13
shortly,2,11,13
upstairs,10,3,13
hoped,5,8,13
hadn,7,6,13
accustomed,6,7,13
generally,5,8,13
serious,4,9,13
entire,9,4,13
daughter,5,8,13
candle,8,5,13
memories,2,11,13
library,5,8,13
bearing,5,8,13
spent,9,4,13
selfish,1,12,13
hurt,3,10,13
proved,3,10,13
delight,9,4,13
accident,4,9,13
stupid,10,3,13
thrown,2,11,13
advanced,3,10,13
puzzled,4,9,13
difficult,4,9,13
wounds,1,12,13
examined,4,8,12
forms,2,10,12
takes,5,7,12
fled,5,7,12
fit,2,10,12
crossing,1,11,12
favorite,6,6,12
fastened,1,11,12
unknown,1,11,12
wicked,8,4,12
respect,2,10,12
direction,2,10,12
wise,1,11,12
rare,4,8,12
trusted,5,7,12
ceased,4,8,12
prove,1,11,12
protect,1,11,12
proceeded,1,11,12
powers,1,11,12
possession,5,7,12
position,2,10,12
yellow,5,7,12
weight,3,9,12
penny,11,1,12
particularly,10,2,12
pallor,1,11,12
dangerous,2,10,12
owner,6,6,12
avoid,2,10,12
chin,5,7,12
buried,1,11,12
class,7,5,12
mountains,1,11,12
spot,2,10,12
moon,1,11,12
mistake,5,7,12
basket,8,4,12
cloud,1,11,12
maids,3,9,12
ma,10,2,12
cab,8,4,12
steep,1,11,12
lights,2,10,12
stole,4,8,12
seated,4,8,12
knocked,5,7,12
eaten,4,8,12
companion,9,3,12
keys,1,11,12
stranger,2,10,12
efforts,3,9,12
eight,3,9,12
stream,1,11,12
information,2,10,12
wondering,11,1,12
conclusion,1,11,12
immediately,6,6,12
imagine,5,7,12
illness,2,10,12
helped,5,7,12
heavily,1,11,12
allowed,9,3,12
equal,3,9,12
grief,2,10,12
vague,3,9,12
events,2,10,12
violent,1,11,12
gets,5,7,12
gesture,4,8,12
sweep,3,9,12
frighten,4,8,12
adventure,3,9,12
year,5,6,11
stir,5,6,11
promised,5,6,11
steal,9,2,11
lift,4,7,11
pretending,7,4,11
younger,6,5,11
trembled,4,7,11
seeming,4,7,11
disturb,2,9,11
bewildered,5,6,11
flat,9,2,11
nails,5,6,11
sounded,8,3,11
firm,3,8,11
dragged,6,5,11
draw,1,10,11
crowd,1,10,11
slow,5,6,11
mud,10,1,11
gradually,6,5,11
voices,2,9,11
feels,5,6,11
travel,1,10,11
sounds,2,9,11
allow,5,6,11
conviction,2,9,11
curiosity,6,5,11
rubbed,5,6,11
helpless,2,9,11
engaged,3,8,11
ribbon,9,2,11
wore,5,6,11
belong,10,1,11
bell,2,9,11
pay,5,6,11
drop,6,5,11
thinks,2,9,11
difference,4,7,11
confessed,10,1,11
band,1,10,11
fortunately,1,10,11
em,9,2,11
strike,2,9,11
shouted,4,7,11
rejoiced,1,10,11
troubles,6,5,11
banquet,10,1,11
delighted,10,1,11
intense,4,7,11
area,7,4,11
circle,1,10,11
excuse,5,6,11
meaning,2,9,11
opposite,1,10,11
reality,1,10,11
brown,7,4,11
companions,3,8,11
keeps,2,9,11
buy,6,5,11
furniture,8,3,11
knee,9,2,11
rain,7,4,11
arrange,2,9,11
discovered,5,6,11
becoming,2,9,11
managed,5,6,11
wondered,6,5,11
lately,1,10,11
pushed,9,2,11
madame,9,2,11
adopted,10,1,11
catching,4,6,10
tender,4,6,10
smiling,8,2,10
realize,1,9,10
pieces,7,3,10
showing,1,9,10
nerve,1,9,10
chest,3,7,10
severely,8,2,10
occur,2,8,10
hollow,2,8,10
bread,9,1,10
cap,9,1,10
required,1,9,10
howl,2,8,10
wreath,4,6,10
third,4,6,10
denied,4,6,10
meal,6,4,10
join,2,8,10
flying,5,5,10
joined,3,7,10
sobbing,6,4,10
level,1,9,10
spend,6,4,10
trembling,5,5,10
pointing,3,7,10
eager,2,8,10
clutched,5,5,10
perfect,6,4,10
privilege,2,8,10
exclamation,6,4,10
relieved,3,7,10
assured,1,9,10
creep,7,3,10
bought,7,3,10
war,3,7,10
quaint,6,4,10
lines,1,9,10
earlier,3,7,10
natural,1,9,10
suspicion,1,9,10
warn,4,6,10
clung,2,8,10
nothin,7,3,10
chosen,2,8,10
add,1,9,10
flames,2,8,10
message,1,9,10
velvet,8,2,10
